Ruolo,Squadra,Nome,Kap.,8 sq. / 350,10 sq. / 350,8 sq. / 500,10 sq. / 500,M.V.,Pres.
A,Roma,MALENDonyell,61,121.73,151.74,191.34,160.14,"6,72",18
A,Inter,MARTINEZLautaro,53,115.26,120.85,172.13,147.57,"6,41",30
A,Napoli,HOJLUNDRasmus,48,84.56,100.65,137.52,100.25,"6,21",33
A,Milan,RAMOSGoncalo Matias,47,89.22,115.03,136.45,118.12,,
A,Inter,THURAMMarcus,46,74.64,82.19,99.24,87.04,"6,43",29
A,Juventus,KOLO MUANIRandal,43,68.38,84.64,101.40,113.37,,
A,Como,PAZNico,42,62.97,76.02,98.24,84.88,"6,37",35
A,Juventus,WOLTEMADENick,42,54.60,63.48,75.51,87.22,,
C,Inter,CALHANOGLUHakan,40,45.25,62.84,77.81,69.64,"6,52",22
A,Como,KEANMoise,40,66.69,70.39,86.06,80.29,"5,88",26
A,Como,DOUVIKASTasos,39,42.85,51.90,59.02,65.15,"6,18",36
C,Napoli,MCTOMINAYScott,37,44.55,51.31,73.96,60.59,"6,39",33
A,Milan,PULISICChristian,37,37.77,58.66,57.20,66.25,"6,14",27
A,Juventus,YILDIZKenan,35,42.68,49.82,40.34,52.87,"6,38",35
C,Como,BATURINAMartin,33,34.65,38.13,61.33,46.48,"6,30",25
A,Bologna,ORSOLINIRiccardo,33,30.02,44.39,56.19,47.88,"6,05",34
A,Atalanta,SCAMACCAGianluca,33,40.98,60.24,65.77,61.18,"6,18",22
A,Sassuolo,BERARDIDomenico,32,25.91,47.13,37.85,50.10,"6,30",26
A,Udinese,DAVISKeinan,32,30.80,41.71,50.11,50.79,"6,31",30
C,Milan,RABIOTAdrien,32,30.74,35.39,53.37,45.29,"6,32",29
C,Napoli,DE BRUYNEKevin,31,32.35,39.43,43.83,47.47,"6,26",17
A,Roma,DYBALAPaulo,31,44.01,60.86,57.02,67.84,"6,26",21
A,Atalanta,KRSTOVICNikola,31,34.08,35.73,40.22,46.15,"6,15",32
