source_name,source_row_number,nome_raw,squadra_raw,ruolo_raw,issue,candidates
fantacalcio-online-csv,25,ESPOSITO FPFrancesco Pio,Inter,A,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Esposito Se."", ""squadra"": ""Sassuolo"", ""fantacalcio_it_id"": 4463}]"
fantacalcio-online-csv,466,VAZRobinio2025/2026,Estero,A,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Vaz"", ""squadra"": ""Roma"", ""fantacalcio_it_id"": 6981}]"
fantacalcio-online-csv,552,ILICMihajlo2025/2026,Serie Minori,D,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Ilic"", ""squadra"": ""Lecce"", ""fantacalcio_it_id"": 5007}]"
fantacalcio-online-csv,572,TERRACCIANOPietro,Milan,P,omonimi non disambiguabili automaticamente (omonimi_stessa_squadra),"[{""nome"": ""Terracciano"", ""squadra"": ""Milan"", ""fantacalcio_it_id"": 2815}, {""nome"": ""Terracciano F."", ""squadra"": ""Milan"", ""fantacalcio_it_id"": 5812}]"
fantacalcio-online-csv,631,PAZYeferson2025/2026,Sassuolo,D,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Paz N."", ""squadra"": ""Como"", ""fantacalcio_it_id"": 6875}]"
fantacalcio-online-csv,661,VASQUEZDevis2025/2026,Roma,P,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Vasquez"", ""squadra"": ""Genoa"", ""fantacalcio_it_id"": 5514}]"
fantacalcio-online-csv,686,ESPOSITOSebastian2025/2026,Lecce,D,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Esposito Se."", ""squadra"": ""Sassuolo"", ""fantacalcio_it_id"": 4463}]"
fantacalcio-online-csv,691,GONZALEZJoanNuovo,Lecce,C,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Gonzalez N."", ""squadra"": ""Juventus"", ""fantacalcio_it_id"": 4179}]"
fantacalcio-online-csv,705,ROMANOMarcoNuovo,Genoa,C,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Romano"", ""squadra"": ""Cagliari"", ""fantacalcio_it_id"": 7311}]"
fantacalcio-online-csv,713,VAZMarceloNuovo,Genoa,D,"cognome univoco nel registro ma omonimo nel CSV: match non sicuro, richiede decisione manuale","[{""nome"": ""Vaz"", ""squadra"": ""Roma"", ""fantacalcio_it_id"": 6981}]"
fantacalcio-online-excel,456,FRANJIć Bartol,Venezia,,cognome non estraibile dal nome grezzo,[]
fantacalcio-online-excel,483,TERRACCIANO Pietro,Milan,,omonimi non disambiguabili automaticamente (omonimi_stessa_squadra),"[{""nome"": ""Terracciano"", ""squadra"": ""Milan"", ""fantacalcio_it_id"": 2815}, {""nome"": ""Terracciano F."", ""squadra"": ""Milan"", ""fantacalcio_it_id"": 5812}]"
fantacalcio-online-excel,524,PAZ Yeferson,Sassuolo,,"cognome univoco nel registro ma omonimo nell'Excel: match non sicuro, richiede decisione manuale","[{""nome"": ""Paz N."", ""squadra"": ""Como"", ""fantacalcio_it_id"": 6875}]"
fantacalcio-online-excel,526,VASQUEZ Devis,Roma,,"cognome univoco nel registro ma omonimo nell'Excel: match non sicuro, richiede decisione manuale","[{""nome"": ""Vasquez"", ""squadra"": ""Genoa"", ""fantacalcio_it_id"": 5514}]"
fantacalcio-online-csv,485,FRANJIćBartolNuovo,Venezia,D,nome non parsabile automaticamente (split cognome/nome ambiguo),[]
